Sr No,Date,Startups,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount
946,2017-07-03,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,9.58
947,2017-07-03,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,0.2874
948,2017-07-03,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,34.967
949,2017-08-03,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,143.7
950,2017-08-03,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,10.538
951,2017-08-03,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,1.1496
953,2017-09-03,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,4.79
954,2017-09-03,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,43.11
955,2017-10-03,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,4.24394
957,2017-10-03,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,5.748
960,,LatestOne,eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,32.093
961,,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,0.958
962,,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,12.933
964,,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,29.698
965,,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,1.916
967,,Flipkart,eCommerce,ECommerce Marketplace,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,13412.0
968,,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,35.1586
969,,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,50.774
971,,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,1.82978
972,,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,143.7
973,,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,536.48
974,,Bizom,Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,3.65956
976,,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,958.0
978,,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,4.79
980,,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,2.874
982,,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,3.1135
983,,perpule,eCommerce,Self-Checkout ECommerce App,Bangalore,KStart Capital,Seed Funding,6.227
985,,Licious,ECommerce,Online Meat Ordering platform,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,95.8
986,,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,0.479
990,,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,1.4849
991,,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,28.74
992,,BigBasket,ECommerce,Online Grocer,Bangalore,Trifecta Capital,Private Equity,67.06
995,,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,239.5
998,2017-06-02,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,23.95
1000,2017-07-02,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,4.311
1001,2017-07-02,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,95.8
1002,2017-08-02,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Earlsfield Capital,Seed Funding,9.58
1003,2017-08-02,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,11.496
1004,2017-08-02,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,526.9
1006,2017-08-02,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,0.3832
1007,2017-09-02,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,57.48
1009,2017-09-02,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,76.64
1010,2017-10-02,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,4.79
1012,,Sigtuple,Technology,Medical Automation platform,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,55.564
1013,,Flutura,Technology,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,71.85
1014,,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,30.656
1015,,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,143.7
1016,,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,3.1614
1017,,Fyle,Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,3.832
1018,,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,2.874
1019,,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,214.592
1022,,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,62.27
1023,,AirZaar,Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,3.353
1024,,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,28.74
1025,,YourStory,Consumer Internet,Online Media,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,28.74
1026,,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,4.79
1027,,The Ken,Consumer Internet,Online Media Platform,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,3.832
1028,,Urban Ladder,ECommerce,Online Furniture Store,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,145.616
1031,,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,0.3832
1032,,Blood n Care,Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,0.3832
1033,,Flipkart,eCommerce,Online Marketplace,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,370.746
1034,,True Balance,Consumer Internet,Mobile balance Checking App,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,143.7
1035,,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,0.3832
1036,,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,10.538
1040,,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,3.5925
1041,,Johari Shop,ECommerce,Online Jewellery etailer,Bangalore,Undisclosed Investors,Seed Funding,0.90052
1042,,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,9.58
1043,,Blackbuck,Logistics,Online freight aggregator,Bangalore,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,670.6
1044,2017-02-01,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,3.50628
1045,2017-03-01,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,7.9035
1051,2017-06-01,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,124.54
1052,2017-07-01,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,546.06
1053,2017-09-01,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,335.3
1054,2017-10-01,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,7.664
1055,2017-10-01,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,47.9
1056,2017-10-01,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,21.555
1058,2017-10-01,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,0.958
1059,2017-10-01,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,33.53
1061,2017-12-01,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,12.933
1062,2017-12-01,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,95.8
1063,,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,39.278
1065,,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,4.2152
1066,,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,43.11
1069,,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,47.9
1071,,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,6.706
1072,,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,7.664
1073,,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,19.16
1074,,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,\\xc2\\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,526.9
1075,,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,4.22478
1076,,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,4.79
1077,,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,1.40826
1080,,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,6.227
1081,,Qwikspec,Technology,Cloud-based construction,Bangalore,Undisclosed Investors,Seed Funding,2.874
1083,,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,9.58
1090,,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,0.479
1093,,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,143.7
1096,,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,4.79
1097,,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,95.8
1098,,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,38.32
1101,,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,38.32
1103,,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,21.076
1104,,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,84.304
1106,,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,13.412
1107,,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,2.874
1109,,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,1.01548
1110,,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,0.21555
1111,,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,0.65144
1112,,Maptags,Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,0.17244
1114,,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,19.16
1116,2016-01-12,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,11.496
1117,2016-01-12,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,38.32
1118,2016-01-12,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,34.488
1119,2016-02-12,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,0.958
1121,2016-02-12,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,28.74
1123,2016-05-12,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,13.412
1125,2016-06-12,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,1.40826
1131,2016-07-12,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,86.22
1132,2016-07-12,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,\\xc2\\xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,4.2152
1134,2016-08-12,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,62.27
1135,2016-08-12,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,2.395
1136,2016-09-12,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,57.48
1138,2016-09-12,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,4.311
1139,2016-09-12,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,2.395
1140,2016-12-12,Xseed Education,Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,95.8
1141,2016-12-12,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,1.916
1142,2016-12-12,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,19.16
1144,2016-12-12,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,19.16
1145,,Indifi,Consumer Internet,Online lending platform,Gurgaon,Omidyar Network,Private Equity,95.8
1147,,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,106.338
1149,,Qacco,Consumer Internet,Hotel Booking platform,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,1.437
1150,,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,9.58
1153,,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,2.84526
1154,,SERV\\xe2\\x80\\x99D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,0.958
1155,,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,95.8
1156,,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,335.3
1157,,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,28.74
1158,,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,220.34
1159,,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,1.17834
1161,,NoBroker,Consumer Internet,Rental property search portal,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,70.892
1162,,VivoCarat,eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,0.479
1165,,BYJU\\xe2\\x80\\x99s,Consumer Internet,Online Learning platform,Bangalore,International Financial Corporation,Private Equity,143.7
1167,,The BlueBook,Consumer Internet,online to offline marketing platform,Bangalore,"Indian Angel Network, Let\\xe2\\x80\\x99s Venture",Seed Funding,4.79
1169,,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,1.55196
1171,,Mindler,Consumer Internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,3.10392
1172,,MCaffeine,eCommerce,Personal care product etailer,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,2.874
1173,,enKast,Technology,Cloud based CRM for Agencies,Bangalore,Ivy League Alumni Angel Network,Private Equity,19.16
1180,,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,11.496
1181,,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,95.8
1182,,ShopX,eCommerce,SAAS ECommerce Retail app,Bangalore,Nandan Nilekani,Private Equity,47.9
1184,,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,9.58
1188,2016-01-11,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed Funding,1.916
1189,2016-02-11,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,526.9
1190,2016-02-11,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bangalore,Undisclosed Investors,Seed Funding,1.437
1193,2016-03-11,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,57.48
1195,2016-03-11,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,95.8
1197,2016-04-11,Connect India,Logistics,Last mile Delivery Network,Bangalore,Aavishkaar Venture Management,Private Equity,9.58
1198,2016-04-11,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed Funding,1.437
1201,2016-05-11,Medzin,eCommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,0.4311
1202,2016-05-11,Bizongo,eCommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,28.74
1203,2016-07-11,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,718.5
1204,2016-07-11,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,28.74
1205,2016-09-11,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,19.16
1206,2016-09-11,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,114.96
1207,2016-10-11,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,9.58
1211,,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,28.74
1212,,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,19.16
1214,,Zefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,57.48
1215,,PlaySimple,Technology,Mobile Gaming portal,Bangalore,"SAIF Partners, IDG Ventures India",Private Equity,38.32
1216,,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bangalore,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,47.9
1218,,Koovs,eCommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,129.33
1221,,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed Funding,1.40826
1222,,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed Funding,9.58
1225,,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed Funding,0.8622
1226,,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed Funding,6.227
1227,,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,47.9
1228,,Awesummly,Consumer Internet,Short News Mobile App,Bangalore,"Vivek Bhargava, Ameera Shah",Seed Funding,1.40826
1230,,Vymo,Technology,SaaS-based predictive analytics platform,Bangalore,Sequoia India,Private Equity,47.9
1232,,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed Funding,1.40826
1233,,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,191.6
1234,,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed Funding,5.748
1235,,Udaan,eCommerce,B2B Marketplace,Bangalore,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,95.8
1238,,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,38.32
1245,,Kloseby,Consumer Internet,proximity based\\xc2\\xa0 Rewards platform,Bangalore,Undisclosed Investor,Seed Funding,0.958
1246,,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,19.16
1248,,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,28.74
1249,,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,9.58
1250,,ShopsUp,eCommerce,Hyperlocal Shopping App,Bangalore,"Anand Sankeshwar, Yang Shu",Seed Funding,9.22554
1251,,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed Funding,1.437
1252,,Entropika,Technology,"AI, Machine learning Solutions",Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed Funding,1.916
1253,,MarianaIQ,Technology,AI-driven B2B marketing platform,Bangalore,Exfinity Venture Partners,Private Equity,19.16
1254,,Chai Thela,Food & Beverage,Quick Service Restaurants,Noida,Quarizon,Seed Funding,2.08844
1255,,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed Funding,0.958
1256,,Math Buddy,Consumer Internet,Online Math Learn,Vadodara,Menterra Social Impact Fund,Seed Funding,4.2152
1257,,Pulse,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,4.79
1259,,Carcrew.in,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,4.79
1261,2016-03-10,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,47.9
1263,2016-03-10,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,19.16
1264,2016-03-10,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,1.916
1265,2016-04-10,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,4.311
1268,2016-04-10,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,19.16
1269,2016-04-10,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,40.236
1270,2016-04-10,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,28.74
1272,2016-04-10,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,9.58
1273,2016-04-10,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,23.95
1274,2016-04-10,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,35.925
1278,2016-05-10,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,11.496
1280,2016-06-10,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,2.874
1282,2016-06-10,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,10.059
